,week,event_type,event_name
0,1,team meal,Yats
1,2,team meal,The Friendly Tavern
2,2,event,Tedeschi Trucks Band - Wheels of Soul
3,3,team meal,Sub 16
4,4,team meal,Thai Recipes Restaurant
5,4,event,Barenaked Ladies - Last Summer on Earth Tour
6,5,team meal,Convivio Italian Artisan Cuisine - Zionsville
7,6,team meal,Mama Carolla's
8,6,event,"Santana and Earth, Wind & Fire - Miraculous Supernatural Tour"
9,7,team meal,Twenty Tap
10,8,team meal,The Jazz Kitchen
11,8,event,The Basement in 30 Tour
12,9,team meal,Another Broken Egg Cafe
13,10,team meal,Chatham Tap Mass Ave
14,10,event,Mind Tripping Show - A Comedy with a Psychological Twist
